x,y,z,yaw,velocity,change_flag
-14673.8,-84879.3,47.7223,-1.76045,40.0000,0
-14674.8,-84877.4,47.7085,-1.76092,40.0000,0
-14675.7,-84875.6,47.5353,-1.76186,40.0000,0
-14676.7,-84873.7,47.4862,-1.76438,40.0000,0
-14677.7,-84871.8,47.5097,-1.77181,40.0000,0
-14678.7,-84870,47.5262,-1.77879,40.0000,0
-14679.8,-84868.1,47.5106,-1.78177,40.0000,0
-14680.8,-84866.2,47.4663,-1.78635,40.0000,0
-14681.8,-84864.3,47.4687,-1.7911,40.0000,0
-14682.9,-84862.5,47.4373,-1.7987,40.0000,0
-14684,-84860.6,47.3956,-1.80622,40.0000,0
-14685.1,-84858.8,47.3814,-1.81299,40.0000,0
-14686.1,-84857,47.3266,-1.8189,40.0000,0
-14687.2,-84855.2,47.3557,-1.83129,40.0000,0
-14688.4,-84853.4,47.3605,-1.84226,40.0000,0
-14689.5,-84851.7,47.3216,-1.85026,40.0000,0
-14690.6,-84850,47.2837,-1.85812,40.0000,0
-14691.7,-84848.3,47.2369,-1.86386,40.0000,0
-14692.8,-84846.6,47.2413,-1.86883,40.0000,0
-14694,-84844.9,47.208,-1.87515,40.0000,0
-14695.1,-84843.3,47.1685,-1.87961,40.0000,0
-14696.3,-84841.6,47.151,-1.88615,40.0000,0
-14697.5,-84840,47.0839,-1.89365,40.0000,0
-14698.7,-84838.4,47.0445,-1.90006,40.0000,0
-14699.9,-84836.8,47.0215,-1.90886,40.0000,0
-14701.1,-84835.2,46.9635,-1.91181,40.0000,0
-14702.3,-84833.5,46.9527,-1.9088,40.0000,0
-14703.5,-84831.9,46.9363,-1.90705,40.0000,0
-14704.8,-84830.2,46.9203,-1.90503,40.0000,0
-14706,-84828.5,46.8756,-1.90895,40.0000,0
-14707.3,-84826.9,46.8302,-1.91666,40.0000,0
-14708.5,-84825.2,46.7834,-1.92948,40.0000,0
-14709.9,-84823.6,46.6827,-1.9416,40.0000,0
-14711.2,-84821.9,46.6637,-1.95587,40.0000,0
-14712.6,-84820.3,46.6159,-1.96716,40.0000,0
-14714,-84818.6,46.5544,-1.97945,40.0000,0
-14715.4,-84817,46.4727,-1.99067,40.0000,0
-14716.9,-84815.5,46.4024,-1.99612,40.0000,0
-14718.3,-84813.9,46.3834,-2.00244,40.0000,0
-14719.8,-84812.3,46.3059,-2.00421,40.0000,0
-14721.2,-84810.8,46.2327,-1.99962,40.0000,0
-14722.6,-84809.2,46.1953,-1.99822,40.0000,0
-14724,-84807.7,46.1484,-1.99892,40.0000,0
-14725.5,-84806.1,46.0685,-1.99759,40.0000,0
-14726.9,-84804.6,45.9762,-1.99719,40.0000,0
-14728.3,-84803,45.8725,-1.99515,40.0000,0
-14729.8,-84801.4,45.8035,-1.99311,40.0000,0
-14731.2,-84799.8,45.7055,-1.9921,40.0000,0
-14732.6,-84798.3,45.614,-1.99128,40.0000,0
-14734,-84796.7,45.4937,-1.99074,40.0000,0
-14735.5,-84795.1,45.4096,-1.99058,40.0000,0
-14736.9,-84793.5,45.2861,-1.98999,40.0000,0
-14738.4,-84791.9,45.1552,-1.99123,40.0000,0
-14739.9,-84790.3,45.0414,-1.99439,40.0000,0
-14741.3,-84788.6,44.9,-2.00045,40.0000,0
-14742.8,-84787.1,44.7802,-2.00627,40.0000,0
-14744.2,-84785.6,44.6425,-2.01033,40.0000,0
-14745.6,-84784.1,44.5015,-2.01487,40.0000,0
-14747.7,-84781.9,44.291,-2.02034,40.0000,0
-14749.6,-84779.9,44.0829,-2.02393,40.0000,0
-14751.5,-84778,43.8377,-2.02563,40.0000,0
-14753.3,-84776,44.021,-2.02387,40.0000,0
-14754.8,-84774.3,44.0702,-2.0214,40.0000,0
-14756.2,-84772.8,44.1047,-2.02217,40.0000,0
-14757.8,-84771.1,43.9118,-2.02406,40.0000,0
-14759.5,-84769.3,43.2144,-2.03313,40.0000,0
-14761.1,-84767.5,43.1702,-2.0366,40.0000,0
-14762.8,-84765.8,43.1173,-2.04237,40.0000,0
-14764.5,-84764.1,43.3982,-2.05316,40.0000,0
-14766,-84762.7,43.6346,-2.05517,40.0000,0
-14767.4,-84761.2,43.5433,-2.05483,40.0000,0
-14769.1,-84759.5,43.4687,-2.05168,40.0000,0
-14770.9,-84757.7,43.3727,-2.04608,40.0000,0
-14772.4,-84756,43.2637,-2.03999,40.0000,0
-14774.1,-84754.2,43.1674,-2.03969,40.0000,0
-14775.5,-84752.7,43.0708,-2.03597,40.0000,0
-14777,-84751.1,43.0021,-2.03304,40.0000,0
-14778.5,-84749.4,42.9079,-2.03232,40.0000,0
-14780.1,-84747.6,42.7905,-2.03839,40.0000,0
-14782,-84745.6,42.7058,-2.0432,40.0000,0
-14783.3,-84744.1,42.6278,-2.04557,40.0000,0
-14784.8,-84742.4,42.5586,-2.04855,40.0000,0
-14786.4,-84740.7,42.4626,-2.05298,40.0000,0
-14788,-84738.9,42.3997,-2.05184,40.0000,0
-14789.7,-84737,42.3321,-2.05059,40.0000,0
-14791.4,-84735,42.2708,-2.04811,40.0000,0
-14793.2,-84733,42.2196,-2.04804,40.0000,0
-14795,-84730.9,42.1354,-2.04651,40.0000,0
-14796.8,-84728.7,42.0801,-2.04493,40.0000,0
-14798.7,-84726.6,42.0061,-2.04262,40.0000,0
-14800.5,-84724.4,41.9452,-2.04062,40.0000,0
-14802.4,-84722.3,41.9059,-2.04013,40.0000,0
-14804.2,-84720.2,41.8375,-2.04149,40.0000,0
